,id,lon,lat,geometry
310,325237.0,-15.992930455464997,16.46562500365499,POINT (-15.992930455464997 16.46562500365499)
317,328224.0,-15.972097122164996,16.46354167032499,POINT (-15.972097122164996 16.46354167032499)
323,331182.0,-16.011680455435,16.46145833699499,POINT (-16.011680455435 16.46145833699499)
334,334172.0,-15.984597122144995,16.45937500366499,POINT (-15.984597122144995 16.45937500366499)
342,337147.0,-15.988763788804995,16.45729167033499,POINT (-15.988763788804995 16.45729167033499)
343,337155.0,-15.972097122164996,16.45729167033499,POINT (-15.972097122164996 16.45729167033499)
365,343122.0,-15.945013788874997,16.453125003674987,POINT (-15.945013788874997 16.453125003674987)
385,349059.0,-15.980430455484996,16.44895833701499,POINT (-15.980430455484996 16.44895833701499)
397,352028.0,-15.997097122124996,16.44687500368499,POINT (-15.997097122124996 16.44687500368499)
398,352036.0,-15.980430455484996,16.44687500368499,POINT (-15.980430455484996 16.44687500368499)
399,352041.0,-15.970013788834995,16.44687500368499,POINT (-15.970013788834995 16.44687500368499)
436,363939.0,-15.990847122134998,16.438541670364987,POINT (-15.990847122134998 16.438541670364987)
459,372895.0,-15.938763788884998,16.43229167037499,POINT (-15.938763788884998 16.43229167037499)
472,378817.0,-16.005430455444998,16.42812500371499,POINT (-16.005430455444998 16.42812500371499)
487,384784.0,-15.978347122154997,16.423958337054987,POINT (-15.978347122154997 16.423958337054987)
498,387770.0,-15.959597122184997,16.42187500372499,POINT (-15.959597122184997 16.42187500372499)
499,387781.0,-15.936680455554995,16.42187500372499,POINT (-15.936680455554995 16.42187500372499)
507,390714.0,-16.028347122074997,16.41979167039499,POINT (-16.028347122074997 16.41979167039499)
514,396692.0,-15.978347122154997,16.41562500373499,POINT (-15.978347122154997 16.41562500373499)
515,396733.0,-15.892930455624995,16.41562500373499,POINT (-15.892930455624995 16.41562500373499)
518,399673.0,-15.970013788834995,16.41354167040499,POINT (-15.970013788834995 16.41354167040499)
524,402662.0,-15.945013788874997,16.41145833707499,POINT (-15.945013788874997 16.41145833707499)
525,402673.0,-15.922097122244995,16.41145833707499,POINT (-15.922097122244995 16.41145833707499)
531,405564.0,-16.101263788624998,16.409375003744987,POINT (-16.101263788624998 16.409375003744987)
532,405590.0,-16.047097122045,16.409375003744987,POINT (-16.047097122045 16.409375003744987)
533,405609.0,-16.007513788774997,16.409375003744987,POINT (-16.007513788774997 16.409375003744987)
534,405647.0,-15.928347122234998,16.409375003744987,POINT (-15.928347122234998 16.409375003744987)
540,408537.0,-16.109597121944997,16.40729167041499,POINT (-16.109597121944997 16.40729167041499)
541,408546.0,-16.090847121974996,16.40729167041499,POINT (-16.090847121974996 16.40729167041499)
542,408618.0,-15.940847122214995,16.40729167041499,POINT (-15.940847122214995 16.40729167041499)
543,408623.0,-15.930430455564997,16.40729167041499,POINT (-15.930430455564997 16.40729167041499)
548,411525.0,-16.086680455314998,16.40520833708499,POINT (-16.086680455314998 16.40520833708499)
549,411549.0,-16.036680455394997,16.40520833708499,POINT (-16.036680455394997 16.40520833708499)
554,414523.0,-16.042930455384997,16.40312500375499,POINT (-16.042930455384997 16.40312500375499)
555,414529.0,-16.030430455404996,16.40312500375499,POINT (-16.030430455404996 16.40312500375499)
561,417489.0,-16.065847122014997,16.40104167042499,POINT (-16.065847122014997 16.40104167042499)
562,417523.0,-15.995013788794996,16.40104167042499,POINT (-15.995013788794996 16.40104167042499)
566,420471.0,-16.055430455365,16.39895833709499,POINT (-16.055430455365 16.39895833709499)
567,420494.0,-16.007513788774997,16.39895833709499,POINT (-16.007513788774997 16.39895833709499)
572,423461.0,-16.028347122074997,16.39687500376499,POINT (-16.028347122074997 16.39687500376499)
573,423470.0,-16.009597122104996,16.39687500376499,POINT (-16.009597122104996 16.39687500376499)
586,429415.0,-16.028347122074997,16.392708337104988,POINT (-16.028347122074997 16.392708337104988)
587,429460.0,-15.934597122224996,16.392708337104988,POINT (-15.934597122224996 16.392708337104988)
591,432390.0,-16.032513788735,16.39062500377499,POINT (-16.032513788735 16.39062500377499)
592,432394.0,-16.024180455414996,16.39062500377499,POINT (-16.024180455414996 16.39062500377499)
593,432438.0,-15.932513788894996,16.39062500377499,POINT (-15.932513788894996 16.39062500377499)
597,435348.0,-16.072097122004998,16.38854167044499,POINT (-16.072097122004998 16.38854167044499)
598,435372.0,-16.022097122084997,16.38854167044499,POINT (-16.022097122084997 16.38854167044499)
599,435382.0,-16.001263788784996,16.38854167044499,POINT (-16.001263788784996 16.38854167044499)
601,438365.0,-15.988763788804995,16.38645833711499,POINT (-15.988763788804995 16.38645833711499)
