,lon,lat,Max NDVI diff
0,-14.990847123734998,16.65520833668499,0.30760000000000004
1,-14.992930457064997,16.65104167002499,0.24019999999999997
2,-14.947097123804998,16.63437500338499,0.1922
3,-14.867930457264997,16.63020833672499,0.3136
4,-15.051263790304997,16.62604167006499,0.19640000000000002
5,-15.067930456944996,16.62395833673499,0.17920000000000003
6,-14.872097123924997,16.62187500340499,0.3245
7,-15.011680457034997,16.61770833674499,0.17600000000000002
8,-14.928347123834996,16.61562500341499,0.19799999999999995
9,-14.903347123874997,16.61562500341499,0.198
10,-14.922097123844997,16.59062500345499,0.2864
11,-14.974180457094997,16.58854167012499,0.22170000000000006
12,-14.553347124434996,16.58854167012499,0.19039999999999999
13,-14.984597123744997,16.584375003464988,0.17459999999999998
14,-14.951263790464997,16.584375003464988,0.1557
15,-15.461680456314998,16.58229167013499,0.2353
16,-14.972097123764996,16.58229167013499,0.22660000000000002
17,-14.863763790604997,16.58229167013499,0.2963
18,-15.463763789644997,16.58020833680499,0.4052
19,-15.459597122984997,16.58020833680499,0.29
20,-15.470013789634997,16.57812500347499,0.38359999999999994
21,-15.461680456314998,16.57604167014499,0.3166
22,-15.457513789654996,16.57604167014499,0.3928
23,-15.480430456284997,16.57395833681499,0.23370000000000002
24,-15.486680456274996,16.57187500348499,0.2195
25,-15.478347122954997,16.57187500348499,0.3589
26,-15.467930456304996,16.57187500348499,0.24610000000000004
27,-15.011680457034997,16.57187500348499,0.23170000000000002
28,-14.974180457094997,16.57187500348499,0.20380000000000004
29,-15.480430456284997,16.569791670154988,0.36810000000000004
30,-14.990847123734998,16.569791670154988,0.20739999999999997
31,-14.961680457114998,16.569791670154988,0.15930000000000002
32,-15.465847122974997,16.56770833682499,0.21579999999999994
33,-15.459597122984997,16.56770833682499,0.24680000000000002
34,-15.315847123214997,16.56770833682499,0.2762
35,-14.963763790444997,16.56770833682499,0.18119999999999997
36,-15.480430456284997,16.56562500349499,0.2986
37,-14.995013790394998,16.56562500349499,0.17769999999999997
38,-14.282513791534997,16.56562500349499,0.2523
39,-15.480430456284997,16.56145833683499,0.2748
40,-15.457513789654996,16.56145833683499,0.22520000000000007
41,-15.320013789874997,16.56145833683499,0.3165
42,-15.467930456304996,16.55937500350499,0.25310000000000005
43,-15.270013789954998,16.55937500350499,0.4131
44,-15.463763789644997,16.55729167017499,0.26109999999999994
45,-15.445013789674997,16.55729167017499,0.2759
46,-15.442930456344996,16.55729167017499,0.2691
47,-15.438763789684998,16.55729167017499,0.21670000000000006
48,-15.326263789864997,16.55729167017499,0.2388
49,-15.274180456614998,16.55729167017499,0.3039
50,-14.584597124384997,16.55729167017499,0.14199999999999996
51,-15.440847123014997,16.555208336844988,0.28519999999999995
52,-15.307513789894998,16.555208336844988,0.25449999999999995
53,-15.301263789904997,16.555208336844988,0.29540000000000005
54,-15.284597123264998,16.555208336844988,0.3347
55,-15.278347123274997,16.555208336844988,0.39139999999999997
56,-15.272097123284997,16.555208336844988,0.45580000000000004
57,-14.815847124014997,16.555208336844988,0.4067
58,-14.649180457614996,16.555208336844988,0.32920000000000005
59,-15.484597122944997,16.55312500351499,0.34919999999999995
60,-15.480430456284997,16.55312500351499,0.25999999999999995
61,-14.657513790934997,16.55312500351499,0.3506
62,-15.482513789614996,16.55104167018499,0.3216
63,-15.465847122974997,16.55104167018499,0.3196
64,-14.763763790764997,16.55104167018499,0.24969999999999998
65,-14.761680457434997,16.55104167018499,0.25529999999999997
66,-15.480430456284997,16.54895833685499,0.25899999999999995
67,-15.474180456294997,16.54895833685499,0.28459999999999996
68,-15.442930456344996,16.54895833685499,0.2716
69,-15.353347123154997,16.54895833685499,0.27899999999999997
70,-15.307513789894998,16.54895833685499,0.32399999999999995
71,-15.272097123284997,16.54687500352499,0.23869999999999997
72,-15.449180456334997,16.54270833686499,0.26940000000000003
73,-15.311680456554997,16.54270833686499,0.2576
74,-15.305430456564997,16.54270833686499,0.2586
75,-15.274180456614998,16.54270833686499,0.3629
76,-14.776263790744997,16.54270833686499,0.2183
77,-15.497097122924997,16.540625003534988,0.3347
78,-15.463763789644997,16.540625003534988,0.2874
79,-15.428347123034996,16.540625003534988,0.23920000000000002
80,-15.305430456564997,16.540625003534988,0.25889999999999996
81,-14.917930457184998,16.540625003534988,0.16300000000000003
82,-15.434597123024997,16.53854167020499,0.252
83,-15.365847123134998,16.53854167020499,0.244
84,-15.349180456494997,16.53854167020499,0.25229999999999997
85,-15.238763790004997,16.53854167020499,0.2343
86,-15.165847123454997,16.53854167020499,0.1438
87,-15.488763789604997,16.53645833687499,0.3452
88,-15.463763789644997,16.53645833687499,0.30119999999999997
89,-15.432513789694998,16.53645833687499,0.25000000000000006
90,-15.207513790054996,16.53645833687499,0.24060000000000004
91,-15.395013789754998,16.53437500354499,0.269
92,-15.005430457044998,16.53437500354499,0.2722
93,-16.132513788574997,16.53020833688499,0.2131
94,-15.461680456314998,16.53020833688499,0.25899999999999995
95,-15.453347122994998,16.53020833688499,0.188
96,-15.951263788864997,16.526041670224988,0.2918
97,-15.936680455554997,16.526041670224988,0.2901
98,-15.503347122914997,16.526041670224988,0.29309999999999997
99,-14.972097123764996,16.526041670224988,0.2717
100,-15.474180456294997,16.52395833689499,0.3298
101,-15.622097122724997,16.52187500356499,0.2297
102,-15.497097122924997,16.52187500356499,0.3567
103,-15.495013789594998,16.52187500356499,0.3625
104,-15.492930456264997,16.52187500356499,0.3467
105,-14.455430457924997,16.52187500356499,0.18969999999999998
106,-15.497097122924997,16.51979167023499,0.3423
