"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
51,201,"SEN","Senegal",7,"Kolda",21,"Kolda",51,"Dioulacolon","Arrondissment","Arrondissement",NA,NA
52,201,"SEN","Senegal",7,"Kolda",21,"Kolda",52,"Mampatim","Arrondissment","Arrondissement",NA,NA
53,201,"SEN","Senegal",7,"Kolda",21,"Kolda",53,"Sare Bidji","Arrondissment","Arrondissement",NA,NA
54,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",54,"Fafacourou","Arrondissment","Arrondissement",NA,NA
55,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",55,"Ndorna","Arrondissment","Arrondissement",NA,NA
56,201,"SEN","Senegal",7,"Kolda",22,"Médina Yoro Foula",56,"Niaming","Arrondissment","Arrondissement",NA,NA
57,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",57,"Bonconto","Arrondissment","Arrondissement",NA,NA
58,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",58,"Pakour","Arrondissment","Arrondissement",NA,NA
59,201,"SEN","Senegal",7,"Kolda",23,"Vélingara",59,"Sare Coly Sale","Arrondissment","Arrondissement",NA,NA
60,201,"SEN","Senegal",8,"Louga",24,"Kébémer",60,"Darou Mousty","Arrondissment","Arrondissement",NA,NA
61,201,"SEN","Senegal",8,"Louga",24,"Kébémer",61,"Sagatta Gueth","Arrondissment","Arrondissement",NA,NA
62,201,"SEN","Senegal",8,"Louga",25,"Linguère",62,"Barkedji","Arrondissment","Arrondissement",NA,NA
63,201,"SEN","Senegal",8,"Louga",25,"Linguère",63,"Dodji","Arrondissment","Arrondissement",NA,NA
64,201,"SEN","Senegal",8,"Louga",25,"Linguère",64,"Sagatta Djolof","Arrondissment","Arrondissement",NA,NA
65,201,"SEN","Senegal",8,"Louga",25,"Linguère",65,"Yang Yang","Arrondissment","Arrondissement",NA,NA
66,201,"SEN","Senegal",8,"Louga",26,"Louga",66,"Coki","Arrondissment","Arrondissement",NA,NA
67,201,"SEN","Senegal",8,"Louga",26,"Louga",67,"Mbediene","Arrondissment","Arrondissement",NA,NA
68,201,"SEN","Senegal",8,"Louga",26,"Louga",68,"Meur Momar Sarr","Arrondissment","Arrondissement",NA,NA
69,201,"SEN","Senegal",8,"Louga",26,"Louga",69,"Sakal","Arrondissment","Arrondissement",NA,NA
70,201,"SEN","Senegal",9,"Matam",27,"Kanel",70,"Orkadiere","Arrondissment","Arrondissement",NA,NA
71,201,"SEN","Senegal",9,"Matam",27,"Kanel",71,"Ouro Sidy","Arrondissment","Arrondissement",NA,NA
72,201,"SEN","Senegal",9,"Matam",28,"Matam",72,"Agnam Civol","Arrondissment","Arrondissement",NA,NA
73,201,"SEN","Senegal",9,"Matam",28,"Matam",73,"Ogo","Arrondissment","Arrondissement",NA,NA
74,201,"SEN","Senegal",9,"Matam",29,"Ranérou Ferlo",74,"Velingara","Arrondissment","Arrondissement",NA,NA
75,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",75,"Boghal","Arrondissment","Arrondissement",NA,NA
76,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",76,"Bona","Arrondissment","Arrondissement",NA,NA
77,201,"SEN","Senegal",10,"Sédhiou",30,"Bounkiling",77,"Diaroume","Arrondissment","Arrondissement",NA,NA
78,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",78,"Djibanar","Arrondissment","Arrondissement",NA,NA
79,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",79,"Karantaba","Arrondissment","Arrondissement",NA,NA
80,201,"SEN","Senegal",10,"Sédhiou",31,"Goudomp",80,"Simbandi Brassou","Arrondissment","Arrondissement",NA,NA
81,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",81,"Diende","Arrondissment","Arrondissement",NA,NA
82,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",82,"Djibabouya","Arrondissment","Arrondissement",NA,NA
83,201,"SEN","Senegal",10,"Sédhiou",32,"Sédhiou",83,"Djiredji","Arrondissment","Arrondissement",NA,NA
84,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana",84,"Mbane","Arrondissment","Arrondissement",NA,NA
85,201,"SEN","Senegal",11,"Saint-Louis",33,"Dagana",85,"Ndiaye Mberess","Arrondissment","Arrondissement",NA,NA
86,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",86,"Cas Cas","Arrondissment","Arrondissement",NA,NA
87,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",87,"Gamadji Sarre","Arrondissment","Arrondissement",NA,NA
88,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",88,"Salde","Arrondissment","Arrondissement",NA,NA
89,201,"SEN","Senegal",11,"Saint-Louis",34,"Podor",89,"Thile Boubacar","Arrondissment","Arrondissement",NA,NA
